시설명,시설구분,소재지도로명주소,소재지지번주소,위도,경도,전화번호,운영주체구분,관리기관,기준일
북수원노인주간보호센터,재가노인복지시설,"경기도 수원시 장안구 송원로 63, 2층 (송죽동)",경기도 수원시 장안구 송죽동 506-8,37.30077412,127.0083841,031-246-7080,법인,수원시 어르신돌봄과,2025-04-11
수원데이케어센터,재가노인복지시설,"경기도 수원시 장안구 대평로 128, 306호 (정자동)",경기도 수원시 장안구 정자동 335-4,37.29893193,126.9913169,031-269-7006,개인,수원시 어르신돌봄과,2025-04-11
수원주간보호센터 장안마을,재가노인복지시설,"경기도 수원시 장안구 경수대로 996, 4,5층 (송죽동)",경기도 수원시 장안구 송죽동 214-5,37.30578928,127.002932,031-248-7344,개인,수원시 어르신돌봄과,2025-04-11
함께하는재가복지센터,재가노인복지시설,경기도 수원시 장안구 정자로144번길 34-29 (정자동),경기도 수원시 장안구 정자동 378-20,37.30215591,126.9924119,031-302-9544,개인,수원시 어르신돌봄과,2025-04-11
아리아케어 방문요양 수원 장안센터,재가노인복지시설,"경기도 수원시 장안구 수일로219번길 2, 4층 (조원동)",경기도 수원시 장안구 조원동 53-2,37.30656426,127.0141554,031-257-7351,개인,수원시 어르신돌봄과,2025-04-11
(주)한우리실버케어,재가노인복지시설,"경기도 수원시 장안구 하률로30번길 45-18, 102호 (천천동)",경기도 수원시 장안구 천천동 572-7,37.30041207,126.9771433,031-248-4944,법인,수원시 어르신돌봄과,2025-04-11
해피홈수원재활주간보호센터,재가노인복지시설,"경기도 수원시 장안구 만석로19번길 11-3, 8층 (천천동, 태영프라자)",경기도 수원시 장안구 천천동 528-4,37.2955999,126.9836861,031-255-3500,개인,수원시 어르신돌봄과,2025-04-11
다원재가복지센터,재가노인복지시설,"경기도 수원시 장안구 창훈로29번길 12-20, 1층 (연무동)",경기도 수원시 장안구 연무동 220,37.29593893,127.0298531,031-207-3223,개인,수원시 어르신돌봄과,2025-04-11
더든든 재가복지센터,재가노인복지시설,경기도 수원시 장안구 경수대로1008번길 17-10 (송죽동),경기도 수원시 장안구 송죽동 156,37.30722952,127.0015137,031-241-9855,법인,수원시 어르신돌봄과,2025-04-11
정담재가복지센터,재가노인복지시설,"경기도 수원시 장안구 팔달로259번길 10, 202호 (영화동)",경기도 수원시 장안구 영화동 327-8,37.2893041,127.0132889,031-245-8419,개인,수원시 어르신돌봄과,2025-04-11
(주)세연노인재가복지센터,재가노인복지시설,"경기도 수원시 장안구 영화로50번길 31, 308호 (영화동)",경기도 수원시 장안구 영화동 449-9,37.29208597,127.0093988,031-243-0010,법인,수원시 어르신돌봄과,2025-04-11
아산방문재활간호 재가요양센터,재가노인복지시설,"경기도 수원시 장안구 장안로217번길 14, 301호 (정자동)",경기도 수원시 장안구 정자동 383,37.30179547,126.9934422,031-522-5566,개인,수원시 어르신돌봄과,2025-04-11
(주)아주편한통합복지센터,재가노인복지시설,"경기도 수원시 장안구 조원로 96, 201호 (조원동, 평안빌딩)",경기도 수원시 장안구 조원동 733-14,37.30143765,127.0154827,031-247-7575,법인,수원시 어르신돌봄과,2025-04-11
행복나라 재가센터,재가노인복지시설,"경기도 수원시 장안구 정조로 1039, 3층 (송죽동)",경기도 수원시 장안구 송죽동 379-1,37.29875133,127.0063565,031-252-7729,법인,수원시 어르신돌봄과,2025-04-11
하랑재가노인복지센터,재가노인복지시설,"경기도 수원시 장안구 정조로957번길 25-2, 1층 (영화동)",경기도 수원시 장안구 영화동 347-9,37.29200321,127.0099248,031-242-9144,개인,수원시 어르신돌봄과,2025-04-11
밤밭노인주간보호센터,재가노인복지시설,"경기도 수원시 장안구 상률로 53, 1층 (율전동, 밤밭노인복지관)",경기도 수원시 장안구 율전동 544-12,37.30638504,126.9721083,031-8019-8859,법인,수원시 어르신돌봄과,2025-04-11
나눔재가요양센터,재가노인복지시설,"경기도 수원시 장안구 팔달로 291, 3층 (영화동)",경기도 수원시 장안구 영화동 167-1,37.29079457,127.016322,031-224-2662,법인,수원시 어르신돌봄과,2025-04-11
수원시립노인주간보호센터,재가노인복지시설,"경기도 수원시 장안구 수일로 33, 1층 (파장동)",경기도 수원시 장안구 파장동 199-5,37.31265574,126.9952177,031-248-0141,지방자치단체,수원시 어르신돌봄과,2025-04-11
효경의손길 재가노인지원서비스센터,재가노인복지시설,경기도 수원시 장안구 경수대로754번길 26-17 (연무동),경기도 수원시 장안구 연무동 256-3,37.29166295,127.0240084,031-251-0090,법인,수원시 어르신돌봄과,2025-04-11
엘림방문요양방문목욕센터,재가노인복지시설,경기도 수원시 권선구 매실로 38 (호매실동),경기도 수원시 권선구 호매실동 406-3,37.26736944,126.9551374,031-242-9572,개인,수원시 어르신돌봄과,2025-04-11
믿음재가방문요양센터,재가노인복지시설,"경기도 수원시 권선구 당진로14번길 57, 상가동 206호 (당수동)",경기도 수원시 권선구 당수동 222-4,37.29032751,126.943801,031-362-5106,개인,수원시 어르신돌봄과,2025-04-11
The-편한노인주간보호센터,재가노인복지시설,"경기도 수원시 권선구 세지로94번길 6, 3, 4층 (권선동)",경기도 수원시 권선구 권선동 979,37.25982,127.02059,031-265-8484,개인,수원시 어르신돌봄과,2025-04-11
수원봄봄케어주간보호센터,재가노인복지시설,"경기도 수원시 권선구 권선로 620, 3층전체,4층 401호 (권선동)",경기도 수원시 권선구 권선동 965,37.26100612,127.0191456,031-236-7733,개인,수원시 어르신돌봄과,2025-04-11
수 데이케어센터,재가노인복지시설,"경기도 수원시 권선구 서부로1596번길 10, 수여성병원 별관동 5층 (고색동)",경기도 수원시 권선구 고색동 886-125,37.25150186,126.9765598,031-293-5557,개인,수원시 어르신돌봄과,2025-04-11
버드내재가노인복지센터,재가노인복지시설,"경기도 수원시 권선구 권선로564번길 36, 2층 (세류동)",경기도 수원시 권선구 세류동 483,37.26112824,127.0120752,031-547-6241,법인,수원시 어르신돌봄과,2025-04-11
(주)효자노치원,재가노인복지시설,"경기도 수원시 권선구 경수대로 379, 3층 (권선동)",경기도 수원시 권선구 권선동 961,37.26038748,127.0235537,031-217-1000,법인,수원시 어르신돌봄과,2025-04-11
정성재가복지센터,재가노인복지시설,"경기도 수원시 권선구 탑동로12번길 18, 4층 401호 (탑동)",경기도 수원시 권선구 탑동 302-4,37.27015994,126.9761312,031-8001-2588,개인,수원시 어르신돌봄과,2025-04-11
고은재가복지센터,재가노인복지시설,"경기도 수원시 권선구 권중로 8-1, 1층 (권선동)",경기도 수원시 권선구 권선동 1160-2,37.25664157,127.0329876,031-222-3256,개인,수원시 어르신돌봄과,2025-04-11
케어로,재가노인복지시설,"경기도 수원시 권선구 권선로509번길 2, 101호 (세류동, 동해빌딩)",경기도 수원시 권선구 세류동 230-45,37.26390437,127.0074468,031-308-0601,개인,수원시 어르신돌봄과,2025-04-11
우리동네노인주간보호센터,재가노인복지시설,"경기도 수원시 권선구 권선로 690, 301,401호 (권선동)",경기도 수원시 권선구 권선동 1029-1,37.25894355,127.0265563,031-222-8856,개인,수원시 어르신돌봄과,2025-04-11
돌봄 잘하는 재가복지센터,재가노인복지시설,"경기도 수원시 권선구 고색로78번길 19, 1층 (고색동)",경기도 수원시 권선구 고색동 143-9,37.25034387,126.985824,031-8067-6319,개인,수원시 어르신돌봄과,2025-04-11
웰빙재가노인복지센터,재가노인복지시설,"경기도 수원시 권선구 서수원로 607, 상가 301호 (금곡동)",경기도 수원시 권선구 금곡동 801-18,37.27921412,126.9536247,031-296-5467,개인,수원시 어르신돌봄과,2025-04-11
금호 주야간보호센터,재가노인복지시설,"경기도 수원시 권선구 노림로16번길 10, 1~3층 (호매실동)",경기도 수원시 권선구 호매실동 405-7,37.26712789,126.9549294,031-293-5567,개인,수원시 어르신돌봄과,2025-04-11
수원재가노인지원서비스센터,재가노인복지시설,"경기도 수원시 권선구 세권로42번길 6, 2층 (세류동)",경기도 수원시 권선구 세류동 443-2,37.25916487,127.0089634,031-309-3633,법인,수원시 어르신돌봄과,2025-04-11
미소재가복지센터,재가노인복지시설,"경기도 수원시 권선구 노림로 13, 3층 (호매실동)",경기도 수원시 권선구 호매실동 404-6,37.26705854,126.9543143,031-292-5514,개인,수원시 어르신돌봄과,2025-04-11
케어링주간보호센터 수원 권선점,재가노인복지시설,"경기도 수원시 권선구 세권로195번길 20-3, 2,4층 401402,403호 (권선동)",경기도 수원시 권선구 권선동 1047-9,37.25622059,127.0261929,031-239-7290,법인,수원시 어르신돌봄과,2025-04-11
오목천요양보호사교육원 부설 재가방문요양센터,재가노인복지시설,"경기도 수원시 권선구 삼천병마로1597번길 8, 2층 (오목천동)",경기도 수원시 권선구 오목천동 367-12,37.24513457,126.9632092,031-298-4314,개인,수원시 어르신돌봄과,2025-04-11
마실주야간보호센터,재가노인복지시설,경기도 수원시 권선구 매곡로 6-12 (호매실동),경기도 수원시 권선구 호매실동 473-3,37.26644,126.95317,031-1577-5756,개인,수원시 어르신돌봄과,2025-04-11
하늘빛재가복지센터,재가노인복지시설,"경기도 수원시 권선구 당진로 41, 3층 (당수동)",경기도 수원시 권선구 당수동 148-3,37.29291375,126.9406376,031-408-5787,개인,수원시 어르신돌봄과,2025-04-11
"""더편한""방문요양센터",재가노인복지시설,"경기도 수원시 권선구 경수대로302번길 32, 107호 (권선동)",경기도 수원시 권선구 권선동 1188-2,37.25271498,127.0222966,031-546-2748,개인,수원시 어르신돌봄과,2025-04-11
케어플래닛재가복지행복센터,재가노인복지시설,"경기도 수원시 권선구 서수원로591번길 26, 4층 (금곡동)",경기도 수원시 권선구 금곡동 77-8,37.27838773,126.9541912,031-292-3290,개인,수원시 어르신돌봄과,2025-04-11
수원굿데이케어센터,재가노인복지시설,"경기도 수원시 권선구 경수대로 193, 10층 (세류동, 세류비즈타워)",경기도 수원시 권선구 세류동 1155-9,37.24446739,127.0172042,031-226-3614,개인,수원시 어르신돌봄과,2025-04-11
더수원어르신재활노치원,재가노인복지시설,"경기도 수원시 권선구 권광로 68, 7층 (권선동, (교연빌딩))",경기도 수원시 권선구 권선동 1066-2,37.2539856,127.0290869,031-1666-8853,개인,수원시 어르신돌봄과,2025-04-11
(A+)효심청재가복지센터,재가노인복지시설,경기도 수원시 권선구 정조로565번길 8 (세류동),경기도 수원시 권선구 세류동 478-3,37.25975369,127.0121307,031-267-1011,개인,수원시 어르신돌봄과,2025-04-11
로뎀재가노인복지센터,재가노인복지시설,"경기도 수원시 권선구 금호로15번길 15, 상가동 2층 (금곡동, 신미주아파트)",경기도 수원시 권선구 금곡동 262-27,37.27006264,126.9529947,031-298-9854,개인,수원시 어르신돌봄과,2025-04-11
하나케어 방문간호 전국센터,재가노인복지시설,"경기도 수원시 권선구 일월천로4번길 55, 201호 (구운동)",경기도 수원시 권선구 구운동 912-4,37.28268277,126.9752243,070-4115-8886,법인,수원시 어르신돌봄과,2025-04-11
다온재가복지센터,재가노인복지시설,"경기도 수원시 권선구 수성로 18, 강남아파트상가제2동 207호 (구운동)",경기도 수원시 권선구 구운동 463,37.28202132,126.9761303,031-291-5580,개인,수원시 어르신돌봄과,2025-04-11
서광노인가정방문요양센터,재가노인복지시설,경기도 수원시 권선구 상탑로 117 (서둔동),경기도 수원시 권선구 서둔동 199-8,37.27106285,126.98406,031-291-1550,개인,수원시 어르신돌봄과,2025-04-11
보람찬어르신센터,재가노인복지시설,경기도 수원시 권선구 금곡로 5-31 (금곡동),경기도 수원시 권선구 금곡동 757-9,37.2694338,126.9379295,031-296-6588,개인,수원시 어르신돌봄과,2025-04-11
나래실버케어,재가노인복지시설,"경기도 수원시 권선구 동수원로82번길 28, 상가동 101호 (곡반정동)",경기도 수원시 권선구 곡반정동 578,37.23739128,127.0288758,031-222-3242,개인,수원시 어르신돌봄과,2025-04-11
테레사간호통합방문센터,재가노인복지시설,"경기도 수원시 권선구 세화로151번길 3-1, 2층 (서둔동)",경기도 수원시 권선구 서둔동 22-11,37.26516337,126.9936566,031-308-7424,개인,수원시 어르신돌봄과,2025-04-11
참조은주간보호요양센터,재가노인복지시설,"경기도 수원시 권선구 오목천로57번길 10-21, 202302402호 (오목천동)",경기도 수원시 권선구 오목천동 213-1,37.24060609,126.9698789,031-294-8880,개인,수원시 어르신돌봄과,2025-04-11
더수원어르신종합돌봄센터,재가노인복지시설,"경기도 수원시 권선구 정조로 445, 2층 (세류동)",경기도 수원시 권선구 세류동 590-3,37.24904432,127.0123465,031-1666-8853,개인,수원시 어르신돌봄과,2025-04-11
베스트노인복지센터,재가노인복지시설,"경기도 수원시 권선구 동수원로146번길 39, 201호 (곡반정동, 승린빌딩)",경기도 수원시 권선구 곡반정동 515-6,37.24448576,127.0316752,031-891-6204,개인,수원시 어르신돌봄과,2025-04-11
해와밀방문요양센터,재가노인복지시설,"경기도 수원시 권선구 세권로221번길 34, 1층 (권선동)",경기도 수원시 권선구 권선동 1042,37.25611582,127.0292007,031-221-5808,개인,수원시 어르신돌봄과,2025-04-11
부모사랑방문요양센터1호점,재가노인복지시설,경기도 수원시 권선구 탑동 840번지 2호 201호,경기도 수원시 권선구 탑동 840-2,37.27035,126.97674,031-278-9902,개인,수원시 어르신돌봄과,2025-04-11
수원굿데이케어센터,재가노인복지시설,"경기도 수원시 권선구 경수대로191번길 9, 10층 (세류동, 세류비즈타워)",경기도 수원시 권선구 세류동 1162,37.2441629,127.016806,031-226-3614,개인,수원시 어르신돌봄과,2025-04-11
든든재가복지센터,재가노인복지시설,"경기도 수원시 권선구 서부로1880번길 20, 상가동 203, 204호 (구운동, 아이엘오페라하우스)",경기도 수원시 권선구 구운동 972,37.27573404,126.9694424,031-293-5596,개인,수원시 어르신돌봄과,2025-04-11
김은숙 노인복지센터,재가노인복지시설,"경기도 수원시 권선구 세지로82번길 45, 1층 (권선동)",경기도 수원시 권선구 권선동 984-7,37.2584748,127.0203081,031-8019-9985,개인,수원시 어르신돌봄과,2025-04-11
가람실버밸리요양원,재가노인복지시설,"경기도 수원시 권선구 권중로76번길 26, 3층 (권선동)",경기도 수원시 권선구 권선동 1259-11,37.25259082,127.0289411,031-226-6090,개인,수원시 어르신돌봄과,2025-04-11
A+엔젤노인복지센터,재가노인복지시설,경기도 수원시 권선구 경수대로277번길 14-13 (세류동),경기도 수원시 권선구 세류동 1103-11,37.25272559,127.0187804,031-224-0660,개인,수원시 어르신돌봄과,2025-04-11
뉴라이프 재가복지센터,재가노인복지시설,"경기도 수원시 권선구 고현로5번길 25, 207호 (고색동, 거산아파트 상가)",경기도 수원시 권선구 고색동 306-1,37.24786927,126.9860796,031-292-4620,개인,수원시 어르신돌봄과,2025-04-11
서호재가노인복지센터,재가노인복지시설,"경기도 수원시 권선구 구운로4번길 34, 2층 (구운동)",경기도 수원시 권선구 구운동 501,37.27849556,126.976192,031-291-0911,법인,수원시 어르신돌봄과,2025-04-11
시선재가노인복지센터,재가노인복지시설,"경기도 수원시 권선구 덕영대로 1086, 2층 (세류동)",경기도 수원시 권선구 세류동 544-31,37.25391536,127.0105405,070-7431-1316,법인,수원시 어르신돌봄과,2025-04-11
주식회사 케어프렌드,재가노인복지시설,"경기도 수원시 권선구 구운중로32번길 19, 1층 (구운동)",경기도 수원시 권선구 구운동 498-10,37.27730433,126.9754399,031-812-0084,법인,수원시 어르신돌봄과,2025-04-11
한마음 주야간보호센터,재가노인복지시설,"경기도 수원시 권선구 금호로 56, 302호 (호매실동, 한우리빌딩)",경기도 수원시 권선구 호매실동 82-10,37.26960359,126.9578738,031-295-8121,개인,수원시 어르신돌봄과,2025-04-11
수원산내들주야간보호센터,재가노인복지시설,"경기도 수원시 팔달구 창룡대로 194, 1층 (우만동)",경기도 수원시 팔달구 우만동 300-2,37.29177733,127.0297804,031-248-7999,개인,수원시 어르신돌봄과,2025-04-11
세류복지센터,재가노인복지시설,"경기도 수원시 팔달구 정조로 651, 244호 (매교동)",경기도 수원시 팔달구 매교동 161,37.26666941,127.0156538,031-236-0701,개인,수원시 어르신돌봄과,2025-04-11
아리아케어 방문요양 팔달센터,재가노인복지시설,"경기도 수원시 팔달구 중부대로 110, 210호 (인계동)",경기도 수원시 팔달구 인계동 206,37.27745492,127.0288104,031-898-6641,개인,수원시 어르신돌봄과,2025-04-11
경기인효주간보호센터,재가노인복지시설,"경기도 수원시 팔달구 중부대로128번길 49, 5층 (인계동)",경기도 수원시 팔달구 인계동 953-14,37.27596994,127.0294436,031-232-0335,개인,수원시 어르신돌봄과,2025-04-11
수원참사랑재활주간보호센터,재가노인복지시설,"경기도 수원시 팔달구 경수대로 487, 5층 (인계동)",경기도 수원시 팔달구 인계동 966-7,37.26963598,127.0272278,031-221-6512,개인,수원시 어르신돌봄과,2025-04-11
더수원어르신재활노치원동수원점,재가노인복지시설,"경기도 수원시 팔달구 중부대로125번길 14, 1~4층 (지동)",경기도 수원시 팔달구 지동 483-9,37.27895234,127.0299957,031-1666-8853,개인,수원시 어르신돌봄과,2025-04-11
엘리홈 재가복지센터,재가노인복지시설,"경기도 수원시 팔달구 팔달문로75번길 68, 101호 (지동)",경기도 수원시 팔달구 지동 475-13,37.2824162,127.0270078,031-241-9788,개인,수원시 어르신돌봄과,2025-04-11
(주)사랑마루데이케어센터,재가노인복지시설,"경기도 수원시 팔달구 중부대로 6, 5층 (중동, 신원빌딩)",경기도 수원시 팔달구 중동 33,37.2750073,127.0174738,031-248-0248,법인,수원시 어르신돌봄과,2025-04-11
덕원노인복지센터,재가노인복지시설,"경기도 수원시 팔달구 팔달문로140번길 1, 1층 좌측끝호 (우만동)",경기도 수원시 팔달구 우만동 551-5,37.28246166,127.0315424,031-214-8248,개인,수원시 어르신돌봄과,2025-04-11
(주)은파방문요양센터,재가노인복지시설,"경기도 수원시 팔달구 정조로 862-1, 201호 (북수동)",경기도 수원시 팔달구 북수동 215,37.28506067,127.0161007,031-245-7517,법인,수원시 어르신돌봄과,2025-04-11
다정재가복지센터,재가노인복지시설,"경기도 수원시 팔달구 창룡대로150번길 42, 1층 (우만동)",경기도 수원시 팔달구 우만동 471-1,37.28950379,127.0277037,031-254-7888,개인,수원시 어르신돌봄과,2025-04-11
은하방문요양센터,재가노인복지시설,"경기도 수원시 팔달구 정조로 651, 224호 (매교동, 매교종합상가)",경기도 수원시 팔달구 매교동 161,37.26666941,127.0156538,031-238-3336,개인,수원시 어르신돌봄과,2025-04-11
HAPPY동행노인복지센터,재가노인복지시설,경기도 수원시 팔달구 팔달문로131번길 54 (우만동),경기도 수원시 팔달구 우만동 507-8,37.2846452,127.0292573,031-202-3350,개인,수원시 어르신돌봄과,2025-04-11
'(A)비지팅엔젤스 수원팔달방문요양지점,재가노인복지시설,"경기도 수원시 팔달구 인계로 120, 1516호 (인계동, 스마트타워)",경기도 수원시 팔달구 인계동 1035-5,37.26686,127.03284,031-211-4003,개인,수원시 어르신돌봄과,2025-04-11
(주)행복한케어,재가노인복지시설,"경기도 수원시 팔달구 매산로20번길 23, 401호 (매산로2가)",경기도 수원시 팔달구 매산로2가 101-1,37.26634764,127.0034167,031-241-3370,법인,수원시 어르신돌봄과,2025-04-11
드림케어센터,재가노인복지시설,"경기도 수원시 팔달구 세지로174번길 23-1, 2,3층 (인계동)",경기도 수원시 팔달구 인계동 988-7,37.2667727,127.0231482,031-231-1198,개인,수원시 어르신돌봄과,2025-04-11
수원행복한케어주간보호센터,재가노인복지시설,"경기도 수원시 팔달구 경수대로692번길 34, 1층 (우만동)",경기도 수원시 팔달구 우만동 486-3,37.28760414,127.0288248,031-241-6500,개인,수원시 어르신돌봄과,2025-04-11
인계누리재가복지센터,재가노인복지시설,"경기도 수원시 팔달구 중부대로 194, 5층 (인계동)",경기도 수원시 팔달구 인계동 164,37.27654322,127.0372939,031-303-9819,개인,수원시 어르신돌봄과,2025-04-11
스마트재가복지센터,재가노인복지시설,"경기도 수원시 팔달구 권선로 477, 상가동 1층 108호 (매산로2가, 대한대우아파트)",경기도 수원시 팔달구 매산로2가 90-5,37.26457142,127.0033544,031-224-6031,개인,수원시 어르신돌봄과,2025-04-11
진아재가복지센터,재가노인복지시설,"경기도 수원시 팔달구 장다리로306번길 13, 지하층 012~013호 (인계동, 신반포아파트)",경기도 수원시 팔달구 인계동 319-6,37.27394404,127.0312224,031-232-2001,개인,수원시 어르신돌봄과,2025-04-11
(주)동부복지센터중앙재가센터,재가노인복지시설,"경기도 수원시 팔달구 장다리로 276, 701호 (인계동)",경기도 수원시 팔달구 인계동 957,37.27396966,127.0282196,031-237-1518,법인,수원시 어르신돌봄과,2025-04-11
(주)디케어 재가복지센터,재가노인복지시설,"경기도 수원시 팔달구 경수대로 720-1, 2층 (우만동)",경기도 수원시 팔달구 우만동 598-20,37.28946262,127.0256764,031-241-9957,법인,수원시 어르신돌봄과,2025-04-11
백세통합재가센터,재가노인복지시설,"경기도 수원시 팔달구 경수대로 459, 301호 (인계동)",경기도 수원시 팔달구 인계동 979-3,37.26729175,127.0263643,031-223-0703,개인,수원시 어르신돌봄과,2025-04-11
365재가실버케어,재가노인복지시설,"경기도 수원시 팔달구 갓매산로 14-15, 101호 (매산로3가)",경기도 수원시 팔달구 매산로3가 105-25,37.26688796,127.0064762,031-238-1002,개인,수원시 어르신돌봄과,2025-04-11
아지트재가복지센터,재가노인복지시설,"경기도 수원시 팔달구 경수대로446번길 60, 202호 (인계동)",경기도 수원시 팔달구 인계동 1031-16,37.26497007,127.0296444,031-237-0543,개인,수원시 어르신돌봄과,2025-04-11
우리재가복지센터,재가노인복지시설,"경기도 수원시 팔달구 권광로364번길 7-2, 상가동 B02호 (우만동, 현대아파트)",경기도 수원시 팔달구 우만동 129-9,37.28034196,127.038016,031-222-9077,개인,수원시 어르신돌봄과,2025-04-11
늘봄재가복지센터,재가노인복지시설,"경기도 수원시 팔달구 권광로 159, 604호 (인계동)",경기도 수원시 팔달구 인계동 1046-19,37.26212165,127.0315905,031-267-2057,개인,수원시 어르신돌봄과,2025-04-11
팔달노인주간보호센터,재가노인복지시설,경기도 수원시 팔달구 수원천로 343 (북수동),경기도 수원시 팔달구 북수동 284-2,37.28394986,127.0173816,031-248-3800,법인,수원시 어르신돌봄과,2025-04-11
희망의료기,재가노인복지시설,"경기도 수원시 팔달구 중부대로 100, 103호 (인계동, 풍림빌딩)",경기도 수원시 팔달구 인계동 208-5,37.27693758,127.0275151,031-233-7337,개인,수원시 어르신돌봄과,2025-04-11
실버케어 마스터,재가노인복지시설,"경기도 수원시 팔달구 팔달로 177, 화서동 B1호 (화서동)",경기도 수원시 팔달구 화서동 32-14,37.2839123,127.0066449,031-244-4936,개인,수원시 어르신돌봄과,2025-04-11
나누리 재가복지센터,재가노인복지시설,"경기도 수원시 영통구 동수원로514번길 15, 102호호 (매탄동)",경기도 수원시 영통구 매탄동 130-10,37.27224538,127.0472895,031-8067-8357,개인,수원시 어르신돌봄과,2025-04-11
"""(A)""해바라기방문요양센터",재가노인복지시설,"경기도 수원시 영통구 삼성로 274, 114호 (원천동)",경기도 수원시 영통구 원천동 332-2,37.26561297,127.064363,031-212-2166,개인,수원시 어르신돌봄과,2025-04-11
행복플러스노인복지센터,재가노인복지시설,경기도 수원시 영통구 매여울로10번길 12-18 (매탄동),경기도 수원시 영통구 매탄동 196-100,37.27152648,127.0485406,031-216-0148,개인,수원시 어르신돌봄과,2025-04-11
(A)바로노인복지센터,재가노인복지시설,"경기도 수원시 영통구 봉영로1759번길 17, 408호 (영통동, Y.T오피스텔)",경기도 수원시 영통구 영통동 947-8,37.26590897,127.0806754,031-226-1700,개인,수원시 어르신돌봄과,2025-04-11
라온노인복지센터,재가노인복지시설,경기도 수원시 영통구 동탄원천로1115번길 6 (원천동),경기도 수원시 영통구 원천동 209-122,37.26930063,127.0587038,031-246-5002,개인,수원시 어르신돌봄과,2025-04-11
가연 노인복지센터,재가노인복지시설,"경기도 수원시 영통구 매여울로 18, 1층 (매탄동)",경기도 수원시 영통구 매탄동 196-81,37.27080912,127.0473047,031-306-6691,개인,수원시 어르신돌봄과,2025-04-11
경인재가복지센터,재가노인복지시설,"경기도 수원시 영통구 산남로67번길 25, 1층 (매탄동)",경기도 수원시 영통구 매탄동 199-51,37.26934467,127.0479475,031-212-0775,개인,수원시 어르신돌봄과,2025-04-11
새평강재가복지센터,재가노인복지시설,경기도 수원시 영통구 매원로 8 (매탄동),경기도 수원시 영통구 매탄동 208-4,37.26664547,127.0469255,031-306-7152,개인,수원시 어르신돌봄과,2025-04-11
아리아케어 방문요양 영통센터,재가노인복지시설,"경기도 수원시 영통구 반달로7번길 30, 5층 516호 (영통동, 르네상스 시티프라자)",경기도 수원시 영통구 영통동 998-2,37.25319221,127.0748967,031-206-8467,개인,수원시 어르신돌봄과,2025-04-11
더평안노인복지센터,재가노인복지시설,"경기도 수원시 영통구 매영로 10, 207호 (매탄동, 삼성아파트 상가동)",경기도 수원시 영통구 매탄동 810,37.2701205,127.0434332,031-213-8898,개인,수원시 어르신돌봄과,2025-04-11
노블시니어 방문요양센터,재가노인복지시설,"경기도 수원시 영통구 청명로 7, 505호 (영통동)",경기도 수원시 영통구 영통동 1021-4,37.24841858,127.0788939,031-546-0971,개인,수원시 어르신돌봄과,2025-04-11
광교 임의원 부설 방문간호센터,재가노인복지시설,"경기도 수원시 영통구 광교중앙로248번길 7-2, B동 202호 (하동)",경기도 수원시 영통구 하동 989-5,37.29103336,127.0666707,031-546-3554,개인,수원시 어르신돌봄과,2025-04-11
예일노인복지센터,재가노인복지시설,"경기도 수원시 영통구 동수원로 316, 306호 (매탄동)",경기도 수원시 영통구 매탄동 1162,37.2584379,127.0383357,031-237-1225,개인,수원시 어르신돌봄과,2025-04-11
영통데이케어센터,재가노인복지시설,"경기도 수원시 영통구 영통로 115, 3층 (망포동, 3층 303호, 304호, 6층 603호, 604호 (망포동, 신영통알파빌딩))",경기도 수원시 영통구 망포동 559-3,37.23791891,127.0568406,031-204-6090,개인,수원시 어르신돌봄과,2025-04-11
에덴주간보호센터,재가노인복지시설,"경기도 수원시 영통구 영통로 103, 401호 (망포동, 뉴엘지프라자)",경기도 수원시 영통구 망포동 570-5,37.23738964,127.0583121,031-202-2030,개인,수원시 어르신돌봄과,2025-04-11
길사랑 데이케어,재가노인복지시설,"경기도 수원시 영통구 영통로 100, 601호 (망포동, 세호프라자)",경기도 수원시 영통구 망포동 532-1,37.23783084,127.0587714,031-8067-8423,개인,수원시 어르신돌봄과,2025-04-11
효벤트 주간보호센터,재가노인복지시설,"경기도 수원시 영통구 영통로200번길 75, 3층 (영통동)",경기도 수원시 영통구 영통동 1117,37.24428122,127.0609566,031-273-0468,개인,수원시 어르신돌봄과,2025-04-11
소리간호요양센터,재가노인복지시설,"경기도 수원시 영통구 영통로112번길 30, 3층 15호 (망포동)",경기도 수원시 영통구 망포동 540-5,37.23923876,127.0566438,0507-1338-3743,개인,수원시 어르신돌봄과,2025-04-11
헬레나의원 부설 재가복지센터,재가노인복지시설,"경기도 수원시 영통구 영통로 103, 201호 (망포동, 뉴엘지프라자)",경기도 수원시 영통구 망포동 570-5,37.23738964,127.0583121,031-204-5947,개인,수원시 어르신돌봄과,2025-04-11
광교재가복지센터,재가노인복지시설,"경기도 수원시 영통구 법조로149번길 182, 103호 (하동)",경기도 수원시 영통구 하동 971,37.29298023,127.0708593,031-216-0240,개인,수원시 어르신돌봄과,2025-04-11
더케어재활주간보호 광교,재가노인복지시설,"경기도 수원시 영통구 대학3로4번길 12, 305호 (이의동)",경기도 수원시 영통구 이의동 1257-3,37.29993993,127.0434279,031-215-9373,개인,수원시 어르신돌봄과,2025-04-11
태평양재가복지센터,재가노인복지시설,경기도 수원시 영통구 매탄로37번길 19 (매탄동),경기도 수원시 영통구 매탄동 1172-1,37.25561885,127.0392983,031-267-3991,개인,수원시 어르신돌봄과,2025-04-11
