시설종류,수용유형,시설명,도로명주소,지번주소,연락처,위도,경도,데이터기준일자
재가장기요양기관,재가장기요양기관,강릉자활종합돌봄센터,강원특별자치도 강릉시 홍제로71번길 24 (홍제동),,033-643-4101,37.75330361,128.8819152,2025-03-05
재가장기요양기관,재가장기요양기관,사랑모아재가복지센터,"강원특별자치도 강릉시 임영로 172, 가-1동 1층 (임당동)",,033-655-7717,37.7565194,128.8917167,2025-03-05
재가장기요양기관,재가장기요양기관,양지뜰노인복지센터,강원특별자치도 강릉시 유산골길 38 (유산동),,033-642-9945,37.73808226,128.9035489,2025-03-05
재가장기요양기관,재가장기요양기관,연서메디칼,강원특별자치도 강릉시 강릉대로419번길 22 (포남동),,033-651-8899,37.77293923,128.9085208,2025-03-05
재가장기요양기관,재가장기요양기관,가나의료기,강원특별자치도 강릉시 옥가로50번길 1 (옥천동),,033-644-8858,37.76091581,128.900296,2025-03-05
재가장기요양기관,재가장기요양기관,성덕방문요양센터,"강원특별자치도 강릉시 용지로 31, 5층 (입암동)",,033-646-9950,37.75439828,128.911086,2025-03-05
재가장기요양기관,재가장기요양기관,한나재가복지센터,"강원특별자치도 강릉시 홍제로71번길 24, 1층 (홍제동)",,033-645-9901,37.75330361,128.8819152,2025-03-05
재가장기요양기관,재가장기요양기관,헬스케어의료기,"강원특별자치도 강릉시 보래미하길 19, 5층 (포남동)",,033-651-1401,37.77186235,128.9095726,2025-03-05
재가장기요양기관,재가장기요양기관,강릉의료기,강원특별자치도 강릉시 사천면 방동길 16,,033-641-8202,37.81535467,128.8561134,2025-03-05
재가장기요양기관,재가장기요양기관,굿모닝의료기,강원특별자치도 강릉시 주문진읍 주문로 97,,033-661-3234,37.89270771,128.8266069,2025-03-05
재가장기요양기관,재가장기요양기관,나눔의료기,강원특별자치도 강릉시 남문길 13 (남문동),,033-645-1311,37.75048273,128.8930762,2025-03-05
재가장기요양기관,재가장기요양기관,이원건강의료기 강릉점,강원특별자치도 강릉시 율곡로 2835 (옥천동),,033-647-2159,37.75722482,128.8977232,2025-03-05
재가장기요양기관,재가장기요양기관,기쁨요양방문센터,강원특별자치도 강릉시 주문진읍 연주로 472,,033-662-1417,37.89422197,128.8252331,2025-03-05
재가장기요양기관,재가장기요양기관,강릉방문간호센터,"강원특별자치도 강릉시 명륜로 95-7, 205호(교동, 교동한신아파트상가)",,033-641-7594,37.768411,128.899358,2025-03-05
재가장기요양기관,재가장기요양기관,강릉솔빛요양센터,"강원특별자치도 강릉시 남구길18번길 36, 3층 (포남동)",,033-642-8911,37.767044,128.908738,2025-03-05
재가장기요양기관,재가장기요양기관,강릉순주간보호센터,"강원특별자치도 강릉시 성덕포남로 64, 3층 302호 (입암동, 강릉순주간보호센터)",,033-653-8709,37.760732,128.918775,2025-03-05
재가장기요양기관,재가장기요양기관,강릉용지복지센터,강원특별자치도 강릉시 용지각길 2-1 (포남동),,033-642-5477,37.760485,128.904547,2025-03-05
재가장기요양기관,재가장기요양기관,강릉행복주간보호센터,"강원특별자치도 강릉시 율곡로 2745, 4층 (노암동)",,033-642-1001,37.751885,128.905145,2025-03-05
재가장기요양기관,재가장기요양기관,고마운방문요양센터,"강원특별자치도 강릉시 가작로287번길 7, 1층 (포남동)",,033-652-7516,37.771366,128.906459,2025-03-05
재가장기요양기관,재가장기요양기관,노아재가복지센터,강원특별자치도 강릉시 하평3길 4(포남동),,033-653-7227,37.770164,128.91774,2025-03-05
재가장기요양기관,재가장기요양기관,늘행복한돌봄재가노인복지센터,강원특별자치도 강릉시 토성로66번길 8 (홍제동),,033-645-1004,37.750551,128.885453,2025-03-05
재가장기요양기관,재가장기요양기관,다누리재가복지센터,"강원특별자치도 강릉시 강릉대로527번길 13, 1층 (포남동)",,033-652-1120,37.779822,128.916705,2025-03-05
재가장기요양기관,재가장기요양기관,다인노인재가복지센터,"강원특별자치도 강릉시 강변로410번길 31-5, 상가동 1층 3호 (입암동, 태평양임대아파트)",,033-000-0000,37.756579,128.912834,2025-03-05
재가장기요양기관,재가장기요양기관,다정재가복지센터,강원특별자치도 강릉시 경강로2334(포남동),,033-653-1542,37.768461,128.916699,2025-03-05
재가장기요양기관,재가장기요양기관,더사랑방문요양센터,"강원특별자치도 강릉시 경강로2224번길 11, 1층 (포남동)",,033-645-8881,37.762251,128.907498,2025-03-05
재가장기요양기관,재가장기요양기관,드림재가복지센터,"강원특별자치도 강릉시 율곡로 2954, 1층 2호 (교동)",,033-643-5370,37.766471,128.891803,2025-03-05
재가장기요양기관,재가장기요양기관,바울주간보호센터,강원특별자치도 강릉시 연곡면 도방길 75-24,,033-652-0113,37.848651,128.841743,2025-03-05
재가장기요양기관,재가장기요양기관,보듬재가복지센터,"강원특별자치도 강릉시 주문진읍 해안로 1701,101호",,033-662-2708,37.887169,128.828759,2025-03-05
재가장기요양기관,재가장기요양기관,섬결재가복지센터,"강원특별자치도 강릉시 수리골길 13, 2층 (교동)",,033-643-0722,37.772336,128.900213,2025-03-05
재가장기요양기관,재가장기요양기관,스마트케어복지용구사업소,"강원특별자치도 강릉시 옥계면 현내시장길 50, 1층",,1533-3112,37.61115,129.036927,2025-03-05
재가장기요양기관,재가장기요양기관,옥계농협재가노인복지센터,강원특별자치도 강릉시 옥계면 현내시장길 56,,033-535-0774,37.610719,129.036458,2025-03-05
재가장기요양기관,재가장기요양기관,우리들재가복지센터,강원특별자치도 강릉시 산양큰길 6 (포남동),,033-651-9799,37.778194,128.914703,2025-03-05
재가장기요양기관,재가장기요양기관,이레주간보호센터,"강원특별자치도 강릉시 하평길 4-1, 1층 (포남동)",,033-651-1212,37.769619,128.909399,2025-03-05
재가장기요양기관,재가장기요양기관,정재가복지센터,강원특별자치도 강릉시 임영로 38 (노암동),,033-646-4462,37.745961,128.896964,2025-03-05
재가장기요양기관,재가장기요양기관,주문진의료기보청기,강원특별자치도 강릉시 주문진읍 주문로 33,,033-661-6282,37.887006,128.825391,2025-03-05
재가장기요양기관,재가장기요양기관,주문진청춘재가노인복지센터,강원특별자치도 강릉시 주문진읍 주문로 147-1,,033-662-9998,37.895688,128.83087,2025-03-05
재가장기요양기관,재가장기요양기관,하주재가노인복지센터,"강원특별자치도 강릉시 강릉대로 180, 1층 1호 (교동)",,033-641-8829,37.771579,128.876112,2025-03-05
재가장기요양기관,재가장기요양기관,하하재가복지센터,"강원특별자치도 강릉시 가작로 250, 102호 (포남동)",,033-653-1719,37.770394,128.902317,2025-03-05
재가장기요양기관,재가장기요양기관,해바라기재가복지센터,"강원특별자치도 강릉시 용지각길 12, 2층 (포남동)",,033-648-6665,37.761029,128.905194,2025-03-05
재가장기요양기관,재가장기요양기관,해오름방문요양센터,"강원특별자치도 강릉시 가작로 301, 2층 2호 (포남동)",,033-651-2579,37.771144,128.908261,2025-03-05
재가장기요양기관,재가장기요양기관,행복나눔재가복지센터,강원특별자치도 강릉시 남구길17번길 25 (포남동),,033-648-8988,37.763159,128.903852,2025-03-05
재가장기요양기관,재가장기요양기관,행복드림주간보호센터,"강원특별자치도 강릉시 솔올로5번길 18-6, 3층 (교동, 진성빌딩)",,033-642-6575,37.76319,128.875779,2025-03-05
