시설명,소재지도로명주소,소재지지번주소,위도,경도,제공서비스,건축물용도,전화번호,관리기관명,관리부서전화번호,데이터기준일자
뇌조3리 경로당,경기도 파주시 조리읍 뇌조로 63,경기도 파주시 조리읍 뇌조리 389-7,37.7530804553,126.809915627,노인여가활동,경로당,031-946-7935,경기도 파주시청,031-940-4404,2025-12-02
눌노리 경로당,경기도 파주시 파평면 청송로414번길 75,경기도 파주시 파평면 눌노리 49-10,37.92982983,126.8607474,노인여가활동,경로당,031-958-7378,경기도 파주시청,031-940-4404,2025-12-02
눌노리 할머니 경로당,경기도 파주시 파평면 청송로432번길 11-13,경기도 파주시 파평면 눌노리 27-10,37.9305580958,126.8618478437,노인여가활동,경로당,031-958-3324,경기도 파주시청,031-940-4404,2025-12-02
늘봄재활주간보호센터,경기도 파주시 경의로1004번길 33,경기도 파주시 야당동 1041,37.7091848075,126.7599483811,방문요양+방문목욕+주야간보호,단독주택,031-934-0992,경기도 파주시청,031-940-4415,2025-12-02
늘안심방문요양센터,경기도 파주시 돌단풍길 65,경기도 파주시 문발동 604-3,37.7203239659,126.7089852144,방문요양,단독주택,031-942-7695,경기도 파주시청,031-940-4415,2025-12-02
늘편한 재가복지센터,경기도 파주시 가재울로 99-20,경기도 파주시 목동동 758,37.7317612653,126.7477528816,방문요양,근린생활시설,031-942-4241,경기도 파주시청,031-940-4415,2025-12-02
늘푸른재가복지센터,경기도 파주시 파주읍 주라위길 136-2,경기도 파주시 파주읍 봉암리 190-1,37.8148020695,126.7981912938,방문요양,근린생활시설,,경기도 파주시청,031-940-4415,2025-12-02
능산1리 경로당,경기도 파주시 월롱면 휴암로335번길 75-4,경기도 파주시 월롱면 능산리 195-4,37.8208656066,126.7786553825,노인여가활동,경로당,031-954-2668,경기도 파주시청,031-940-4404,2025-12-02
능산2리 경로당,경기도 파주시 월롱면 국사봉길 55,경기도 파주시 월롱면 능산리 268-2,37.8274011291,126.7702782297,노인여가활동,경로당,031-952-0572,경기도 파주시청,031-940-4404,2025-12-02
능안2리 경로당,경기도 파주시 조리읍 능안로 198,경기도 파주시 조리읍 능안리 214-6,37.73722893,126.788999349,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
능안리 경로당,경기도 파주시 조리읍 안능안길 31,경기도 파주시 조리읍 능안리 53-15,37.7398317149,126.7924890456,노인여가활동,경로당,031-945-3867,경기도 파주시청,031-940-4404,2025-12-02
다미안케어(주),경기도 파주시 문산읍 문산역로 107,경기도 파주시 문산읍 문산리 17-25,37.8557771513,126.7867051775,복지용구제공사업소,근린생활시설,031-953-2276,경기도 파주시청,031-940-4415,2025-12-02
다복케어,경기도 파주시 조리읍 장진천길 238,경기도 파주시 조리읍 대원리 825-5,37.7275473005,126.8059404803,복지용구제공사업소,근린생활시설,031-975-1088,경기도 파주시청,031-940-4415,2025-12-02
다솜주야간보호센터,경기도 파주시 법원읍 사임당로 955-9,경기도 파주시 법원읍 법원리 416-1,37.8474317863,126.8869384945,방문요양+방문목욕+주야간보호,근린생활시설,031-958-4676,경기도 파주시청,031-940-4415,2025-12-02
다온노인전문요양원,경기도 파주시 한마음2길 25,경기도 파주시 금촌동 251-5,37.7563647852,126.772179697,노인요양시설,노유자시설,031-957-3270,경기도 파주시청,031-940-4477,2025-12-02
다온복지센터,경기도 파주시 새꽃로 206-2,경기도 파주시 아동동 356-12,37.7654150996,126.7757691653,방문요양+방문목욕,근린생활시설,031-943-3476,경기도 파주시청,031-940-4415,2025-12-02
다율복지용구,경기도 파주시 문산읍 문산로26번길 13,경기도 파주시 문산읍 문산리 10-93,37.8567283765,126.7829591645,복지용구제공사업소,노유자시설,031-953-8803,경기도 파주시청,031-940-4415,2025-12-02
다은방문요양센터,경기도 파주시 문산읍 임진나루길 93-13,경기도 파주시 문산읍 임진리 8-35,37.8868961798,126.7957622484,방문요양,근린생활시설,031-953-7774,경기도 파주시청,031-940-4415,2025-12-02
당동1리 경로당,경기도 파주시 문산읍 당동1로 39-30,경기도 파주시 문산읍 당동리 913-7,37.8623954302,126.7732028396,노인여가활동,경로당,031-953-0414,경기도 파주시청,031-940-4404,2025-12-02
당동2리 경로당,경기도 파주시 문산읍 널다리길 88,경기도 파주시 문산읍 당동리 424-1,37.8740616189,126.7738552826,노인여가활동,경로당,031-953-1990,경기도 파주시청,031-940-4404,2025-12-02
당동4단지 경로당,경기도 파주시 문산읍 당동1로 12-1,경기도 파주시 문산읍 당동리 908,37.8627328114,126.779066157,노인여가활동,경로당,031-954-2484,경기도 파주시청,031-940-4404,2025-12-02
당동주공아파트1단지 경로당,경기도 파주시 문산읍 방촌로 1660,경기도 파주시 문산읍 당동리 874,37.8617586206,126.780465927,노인여가활동,경로당,031-953-3942,경기도 파주시청,031-940-4404,2025-12-02
당동주공아파트2단지 경로당,경기도 파주시 문산읍 방촌로 1662,경기도 파주시 문산읍 당동리 871,37.862473363,126.7808633687,노인여가활동,경로당,031-954-4512,경기도 파주시청,031-940-4404,2025-12-02
당동휴먼시아3단지 경로당,경기도 파주시 문산읍 방촌로 1720,경기도 파주시 문산읍 당동리 937,37.8656168629,126.7851160069,노인여가활동,경로당,031-952-2338,경기도 파주시청,031-940-4404,2025-12-02
당하리 경로당,경기도 파주시 당하길 77,경기도 파주시 당하동 208-1,37.7450251855,126.7491733357,노인여가활동,경로당,031-941-4757,경기도 파주시청,031-940-4404,2025-12-02
대능4리 경로당,경기도 파주시 법원읍 술이홀로 860-29,경기도 파주시 법원읍 대능리 84-32,37.8487333804,126.8731303047,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
대능리 경로당,경기도 파주시 법원읍 술이홀로 892-1,경기도 파주시 법원읍 대능리 89-13,37.8505021732,126.8743474689,노인여가활동,경로당,031-958-8097,경기도 파주시청,031-940-4404,2025-12-02
대동리 경로당,경기도 파주시 탄현면 새오리로 325,경기도 파주시 탄현면 대동리 716,37.81115411,126.6901784,노인여가활동,경로당,031-942-2564,경기도 파주시청,031-940-4404,2025-12-02
대방노블랜드아파트 경로당,경기도 파주시 마음밭길 114,경기도 파주시 금촌동 1015,37.7699796513,126.7704814104,노인여가활동,경로당,031-947-5344,경기도 파주시청,031-940-4404,2025-12-02
대방아파트 경로당,경기도 파주시 평화로 280,경기도 파주시 야동동 587,37.7729181132,126.7500939742,노인여가활동,경로당,031-947-3444,경기도 파주시청,031-940-4404,2025-12-02
대성동 경로당,경기도 파주시 군내면 대성동길 181-21,경기도 파주시 군내면 조산리 362,37.9420421038,126.6783714734,노인여가활동,경로당,031-953-6464,경기도 파주시청,031-940-4404,2025-12-02
대영장미2차아파트 경로당,경기도 파주시 황골로 12,경기도 파주시 금촌동 231-2,37.7552425893,126.7704391135,노인여가활동,경로당,031-943-4936,경기도 파주시청,031-940-4404,2025-12-02
대영장미6차아파트 경로당,경기도 파주시 황골로 6,경기도 파주시 금촌동 228-4,37.7547077836,126.7690593096,노인여가활동,경로당,031-947-2154,경기도 파주시청,031-940-4404,2025-12-02
"대원1,2리 경로당",경기도 파주시 조리읍 닻고개길 34,경기도 파주시 조리읍 대원리 710-3,37.7332252517,126.8050916277,노인여가활동,경로당,031-947-7646,경기도 파주시청,031-940-4404,2025-12-02
대원3리 경로당,경기도 파주시 조리읍 문원길 260-12,경기도 파주시 조리읍 대원리 253,37.7258832544,126.8137896688,노인여가활동,경로당,031-941-6422,경기도 파주시청,031-940-4404,2025-12-02
대원효성아파트 경로당,경기도 파주시 청석로 300,경기도 파주시 다율동 986,37.730026676,126.718671167,노인여가활동,경로당,031-941-6626,경기도 파주시청,031-940-4404,2025-12-02
더나은재가복지센터,경기도 파주시 조리읍 내산길 74,경기도 파주시 조리읍 봉일천리 236-13,37.7463566515,126.808813964,방문요양+방문목욕,근린생활시설,031-943-2456,경기도 파주시청,031-940-4415,2025-12-02
더드림재가방문요양센터,경기도 파주시 번영로 46-2,경기도 파주시 금촌동 272-2,37.7581920381,126.7681632109,방문요양,단독주택,031-948-1601,경기도 파주시청,031-940-4415,2025-12-02
더사랑방문요양센터,경기도 파주시 와석순환로 15,경기도 파주시 야당동 1031,37.7095115042,126.7579233528,방문요양,공동주택,031-947-5721,경기도 파주시청,031-940-4415,2025-12-02
더행복한사회복지센터,경기도 파주시 문산읍 문향로 52-1,경기도 파주시 문산읍 문산리 10-47,37.8567236229,126.7855277207,방문요양+주야간보호,노유자시설,031-953-1333,경기도 파주시청,031-940-4415,2025-12-02
덕은1리 경로당,경기도 파주시 월롱면 용상골길 106,경기도 파주시 월롱면 덕은리 242-7,37.7871645985,126.7727614485,노인여가활동,경로당,031-945-0237,경기도 파주시청,031-940-4404,2025-12-02
덕은2리 경로당,경기도 파주시 월롱면 월롱초교길 25,경기도 파주시 월롱면 덕은리 338-4,37.8007104561,126.7813437987,노인여가활동,경로당,031-945-1120,경기도 파주시청,031-940-4404,2025-12-02
덕은3리 경로당,경기도 파주시 월롱면 옥돌내길 125,경기도 파주시 월롱면 덕은리 506,37.8134938654,126.7772055788,노인여가활동,경로당,031-946-5110,경기도 파주시청,031-940-4404,2025-12-02
덕은4리 경로당,경기도 파주시 월롱면 엘지로386번길 121-7,경기도 파주시 월롱면 덕은리 932-5,37.8195151635,126.7650263135,노인여가활동,경로당,031-945-0357,경기도 파주시청,031-940-4404,2025-12-02
덕은5리 경로당,경기도 파주시 월롱면 휴암로 194,경기도 파주시 월롱면 덕은리 417-1,37.8087012156,126.782552235,노인여가활동,경로당,031-945-5256,경기도 파주시청,031-940-4404,2025-12-02
덕천리 경로당,경기도 파주시 파평면 청송로610번길 11,경기도 파주시 파평면 덕천리 111-44,37.9404061129,126.8764637461,노인여가활동,경로당,031-958-6561,경기도 파주시청,031-940-4404,2025-12-02
덕천리 할머니 경로당,경기도 파주시 파평면 청송로610번길 13,경기도 파주시 파평면 덕천리 111-45,37.9403355718,126.8766378047,노인여가활동,경로당,031-958-8305,경기도 파주시청,031-940-4404,2025-12-02
데레사의집,경기도 파주시 범벅골길 94,경기도 파주시 다율동 58-7,37.7467474202,126.7365530775,치매전담형 노인공동생활가정,노유자시설,031-946-8188,경기도 파주시청,031-940-4477,2025-12-02
도내1리 경로당,경기도 파주시 월롱면 도감로232번길 81,경기도 파주시 월롱면 도내리 661-9,37.7877777036,126.8120332882,노인여가활동,경로당,031-945-9875,경기도 파주시청,031-940-4404,2025-12-02
도내2리 경로당,경기도 파주시 월롱면 내도감길 10-41,경기도 파주시 월롱면 도내리 562,37.7868135035,126.818474194,노인여가활동,경로당,031-944-8536,경기도 파주시청,031-940-4404,2025-12-02
도내3리 경로당,경기도 파주시 월롱면 정문로 478,경기도 파주시 월롱면 도내리 438-4,37.7990848034,126.8183265369,노인여가활동,경로당,031-945-3583,경기도 파주시청,031-940-4404,2025-12-02
도내4리 경로당,경기도 파주시 월롱면 외도감길 3,경기도 파주시 월롱면 도내리 258-1,37.7884554231,126.8209526865,노인여가활동,경로당,031-945-5654,경기도 파주시청,031-940-4404,2025-12-02
도연재가방문요양센터,경기도 파주시 시청로 123-1,경기도 파주시 아동동 897,37.7657758359,126.779440252,방문요양+방문목욕,근린생활시설,031-941-1030,경기도 파주시청,031-940-4415,2025-12-02
돌보인 방문요양센터 파주점,경기도 파주시 금바위로 42,경기도 파주시 와동동 1384,37.7283227259,126.7600126467,방문요양,단독주택,031-839-3911,경기도 파주시청,031-940-4415,2025-12-02
동감재가복지센터,경기도 파주시 쇠재1길 36,경기도 파주시 금릉동 446-4,37.7506673703,126.7797749062,방문요양+방문목욕,근린생활시설,031-945-6902,경기도 파주시청,031-940-4415,2025-12-02
동문1리 경로당,경기도 파주시 법원읍 못말길 260,경기도 파주시 법원읍 동문리 171-1,37.8741652643,126.8589906995,노인여가활동,경로당,031-958-1101,경기도 파주시청,031-940-4404,2025-12-02
동문1차아파트 경로당,경기도 파주시 조리읍 고봉로 1016,경기도 파주시 조리읍 봉일천리 147-1,37.7419929425,126.8079498706,노인여가활동,경로당,031-941-4506,경기도 파주시청,031-940-4404,2025-12-02
동문2리경로당,경기도 파주시 법원읍 사임당로 476-11,경기도 파주시 법원읍 동문리 648-35,37.8602417053,126.839814504,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
동문굿모닝힐 10단지 경로당,경기도 파주시 책향기로 441,경기도 파주시 동패동 1698,37.7246012726,126.7197131257,노인여가활동,경로당,031-941-2812+031-947-2819,경기도 파주시청,031-940-4404,2025-12-02
동문굿모닝힐 8단지 경로당,경기도 파주시 청석로 350,경기도 파주시 다율동 982,37.7330737933,126.7200899256,노인여가활동,경로당,031-949-6007,경기도 파주시청,031-940-4404,2025-12-02
동문그린시티 2단지아파트 경로당,경기도 파주시 조리읍 대원로 56,경기도 파주시 조리읍 대원리 218,37.7280879323,126.8155688281,노인여가활동,경로당,031-949-3920,경기도 파주시청,031-940-4404,2025-12-02
"동문그린시티3,5단지아파트 경로당",경기도 파주시 조리읍 대원로 45,경기도 파주시 조리읍 대원리 272,37.7270881699,126.8171588147,노인여가활동,경로당,031-946-9433,경기도 파주시청,031-940-4404,2025-12-02
동문아파트(금촌18통) 경로당,경기도 파주시 정담길 90,경기도 파주시 금촌동 11-7,37.7709786172,126.7742951285,노인여가활동,경로당,031-944-2990,경기도 파주시청,031-940-4404,2025-12-02
동신라메르아파트 경로당,경기도 파주시 광탄면 큰여울길 20-21,경기도 파주시 광탄면 신산리 683,37.7799983008,126.8496538319,노인여가활동,경로당,031-949-4066,경기도 파주시청,031-940-4404,2025-12-02
동양부로미아파트 경로당,경기도 파주시 금릉이길 29,경기도 파주시 금릉동 196-3,37.7565221607,126.7818339863,노인여가활동,경로당,031-943-4826,경기도 파주시청,031-940-4404,2025-12-02
동의보감주간보호센터,경기도 파주시 중앙로 286,경기도 파주시 아동동 331-8,37.7616420569,126.7767258989,주야간보호,노유자시설,031-935-6081,경기도 파주시청,031-940-4415,2025-12-02
동파리 경로당,경기도 파주시 진동면 해마루길 111,경기도 파주시 진동면 동파리 1759,37.9259251416,126.7871447597,노인여가활동,경로당,031-953-6367,경기도 파주시청,031-940-4404,2025-12-02
동패1통 경로당,경기도 파주시 교하로 456,경기도 파주시 동패동 1345,37.70514497,126.7284423644,노인여가활동,경로당,031-942-6680,경기도 파주시청,031-940-4404,2025-12-02
동패3리 경로당,경기도 파주시 교하로 613-17,경기도 파주시 동패동 1051-12,37.7069921309,126.7103411465,노인여가활동,경로당,031-949-6880,경기도 파주시청,031-940-4404,2025-12-02
두드림 노인복지센터,경기도 파주시 파주읍 성현안길 73-42,경기도 파주시 파주읍 향양리 102-13,37.8565728174,126.813872295,방문요양,단독주택,,경기도 파주시청,031-940-4415,2025-12-02
두마 경로당,경기도 파주시 파평면 파평산로329번길 3,경기도 파주시 파평면 마산리 387-7,37.8932914384,126.846029322,노인여가활동,경로당,031-954-1318,경기도 파주시청,031-940-4404,2025-12-02
두마 할머니 경로당,경기도 파주시 파평면 파평산로331번길 46,경기도 파주시 파평면 두포리 84,37.8921053234,126.8442330421,노인여가활동,경로당,031-953-0214,경기도 파주시청,031-940-4404,2025-12-02
"두보1,2차아파트 경로당",경기도 파주시 한마음2길 5,경기도 파주시 금촌동 234-17,37.7557992216,126.7726785768,노인여가활동,경로당,031-945-7473,경기도 파주시청,031-940-4404,2025-12-02
두보3차아파트 경로당,경기도 파주시 황골로 40,경기도 파주시 금촌동 234-22,37.7547756528,126.7732022233,노인여가활동,경로당,031-946-7662,경기도 파주시청,031-940-4404,2025-12-02
두산위브아파트 경로당,경기도 파주시 문산읍 우계로 470,경기도 파주시 문산읍 선유리 1350,37.8591675229,126.7919462983,노인여가활동,경로당,031-953-2022,경기도 파주시청,031-940-4404,2025-12-02
두산위브아파트(해솔마을) 경로당,경기도 파주시 해솔로 85,경기도 파주시 목동동 647,37.7289474378,126.7452333574,노인여가활동,경로당,031-943-7211+031-943-7012,경기도 파주시청,031-940-4404,2025-12-02
두포1리 경로당,경기도 파주시 파평면 파평산로478번길 74-2,경기도 파주시 파평면 두포리 262-20,37.9030854953,126.8391437258,노인여가활동,경로당,031-952-8379,경기도 파주시청,031-940-4404,2025-12-02
두포3리 경로당,경기도 파주시 파평면 파평산로572번길 80,경기도 파주시 파평면 두포리 427-17,37.9076756696,126.8271661482,노인여가활동,경로당,031-952-2176,경기도 파주시청,031-940-4404,2025-12-02
둥지방문복지센터,경기도 파주시 조리읍 봉천로 59-2,경기도 파주시 조리읍 봉일천리 174,37.7441009208,126.805031683,방문요양+방문목욕,근린생활시설,031-941-8836,경기도 파주시청,031-940-4415,2025-12-02
들꽃재활요양원,경기도 파주시 광탄면 보광로741번길 23-24,경기도 파주시 광탄면 영장리 332-3,37.7689522527,126.9007256194,노인요양시설,노유자시설,031-947-4334,경기도 파주시청,031-940-4477,2025-12-02
등원1리(할아버지 2층) 경로당,경기도 파주시 조리읍 등원로91번길 50,경기도 파주시 조리읍 등원리 140-6,37.7634011659,126.808784739,노인여가활동,경로당,031-944-5784,경기도 파주시청,031-940-4404,2025-12-02
등원2리 경로당,경기도 파주시 조리읍 통일로 480,경기도 파주시 조리읍 등원리 412-3,37.7561556666,126.8019480549,노인여가활동,경로당,031-944-5802,경기도 파주시청,031-940-4404,2025-12-02
라온 요양원,경기도 파주시 조리읍 능안로 332,경기도 파주시 조리읍 능안리 253-2,37.7407397327,126.7885975115,노인요양시설,노유자시설,031-934-0073,경기도 파주시청,031-940-4477,2025-12-02
라움케어주간보호센터,경기도 파주시 청석로 268,경기도 파주시 동패동 1695-3,37.72582914,126.7177221,주야간보호,노유자시설,,경기도 파주시청,031-940-4415,2025-12-02
라하프재활데이케어센터,경기도 파주시 초롱꽃로 139,경기도 파주시 동패동 2080-1,37.7125835178,126.7196723554,주야간보호,노유자시설,031-937-8630,경기도 파주시청,031-940-4415,2025-12-02
로뎀실버데이케어센터,경기도 파주시 조리읍 능안로 39,경기도 파주시 조리읍 대원리 992-7,37.7420341228,126.8026086776,주야간보호,노유자시설,,경기도 파주시청,031-940-4415,2025-12-02
롯데캐슬파크타운2차아파트경로당,경기도 파주시 한빛로 20,경기도 파주시 야당동 1015,37.7103450978,126.7555286343,노인여가활동,경로당,031-942-6622,경기도 파주시청,031-940-4404,2025-12-02
마루드림재활복지센터,경기도 파주시 문산읍 사임당로 20,경기도 파주시 문산읍 선유리 737-1,37.8590628836,126.7969822497,방문요양+방문목욕+주야간보호+방문간호,,031-952-4500,경기도 파주시청,031-940-4415,2025-12-02
마산1리 경로당,경기도 파주시 파평면 용산골길 29-9,경기도 파주시 파평면 마산리 106,37.881718503,126.8570934579,노인여가활동,경로당,031-952-9595,경기도 파주시청,031-940-4404,2025-12-02
마산리 경로당,경기도 파주시 파평면 배머리길 937,경기도 파주시 파평면 마산리 276-4,37.8901724013,126.8503888799,노인여가활동,경로당,031-954-2080,경기도 파주시청,031-940-4404,2025-12-02
마음편한요양원,경기도 파주시 조리읍 뇌조로 34-5,경기도 파주시 조리읍 뇌조리 190-12,37.7517385588,126.8071176913,노인요양시설,노유자시설,031-946-1555,경기도 파주시청,031-940-4477,2025-12-02
마장1리 경로당,경기도 파주시 광탄면 보광로1125번길 10,경기도 파주시 광탄면 마장리 233-5,37.7887512283,126.875528692,노인여가활동,경로당,031-947-3370,경기도 파주시청,031-940-4404,2025-12-02
마장2리 경로당,경기도 파주시 광탄면 심궁로246번길 13,경기도 파주시 광탄면 마장리 430-49,37.7780358749,126.8772177812,노인여가활동,경로당,031-949-2662,경기도 파주시청,031-940-4404,2025-12-02
마장3리 경로당,경기도 파주시 광탄면 보광로920번길 7,경기도 파주시 광탄면 마장리 125-1,37.7772180593,126.8823283563,노인여가활동,경로당,031-948-4611,경기도 파주시청,031-940-4404,2025-12-02
마장4리 경로당,경기도 파주시 광탄면 보광로 778,경기도 파주시 광탄면 마장리 23-21,37.771698239,126.8962593857,노인여가활동,경로당,031-941-0428,경기도 파주시청,031-940-4404,2025-12-02
마정1리 경로당,경기도 파주시 문산읍 말우물길 62,경기도 파주시 문산읍 마정리 683-6,37.8851086337,126.7588608628,노인여가활동,경로당,031-952-8255,경기도 파주시청,031-940-4404,2025-12-02
마정2리 경로당,경기도 파주시 문산읍 마정로138번길 23,경기도 파주시 문산읍 마정리 536-16,37.8924537801,126.7593527045,노인여가활동,경로당,031-953-3227,경기도 파주시청,031-940-4404,2025-12-02
마정3리 경로당,경기도 파주시 문산읍 마정로124번길 30,경기도 파주시 문산읍 마정리 569-4,37.8920713627,126.7611384857,노인여가활동,경로당,031-953-2030,경기도 파주시청,031-940-4404,2025-12-02
마정4리 경로당,경기도 파주시 문산읍 장산로45번길 74,경기도 파주시 문산읍 마정리 225-3,37.8958336312,126.7628401259,노인여가활동,경로당,031-953-5528,경기도 파주시청,031-940-4404,2025-12-02
마지1리 경로당,경기도 파주시 적성면 청송로 1027-32,경기도 파주시 적성면 마지리 36-60,37.9560267449,126.9181772876,노인여가활동,경로당,031-958-4141,경기도 파주시청,031-940-4404,2025-12-02
마지1리(할머니) 경로당,경기도 파주시 적성면 솥뒤로 16-5,경기도 파주시 적성면 마지리 63-15,37.9557586373,126.9179343131,노인여가활동,경로당,031-959-7974,경기도 파주시청,031-940-4404,2025-12-02
마지2리 경로당,경기도 파주시 적성면 적서초교길 153,경기도 파주시 적성면 마지리 454-4,37.9493102094,126.9040352454,노인여가활동,경로당,031-959-4535,경기도 파주시청,031-940-4404,2025-12-02
만우리 경로당,경기도 파주시 탄현면 새오리로 414,경기도 파주시 탄현면 만우리 111-1,37.8159894755,126.6975748646,노인여가활동,경로당,031-942-1318,경기도 파주시청,031-940-4404,2025-12-02
맥금12통경로당,경기도 파주시 장터고개길 17,경기도 파주시 맥금동 115-10,37.7730837918,126.7325643158,노인여가활동,경로당,031-945-6030,경기도 파주시청,031-940-4404,2025-12-02
맥금14통 경로당,경기도 파주시 방촌로326번길 17,경기도 파주시 맥금동 382,37.7746648025,126.7268700221,노인여가활동,경로당,031-945-8212,경기도 파주시청,031-940-4404,2025-12-02
메주꽃요양원,경기도 파주시 문산읍 문현말길 142,경기도 파주시 문산읍 내포리 373,37.8450648121,126.7685105983,노인요양시설,노유자시설,031-953-9935,경기도 파주시청,031-940-4477,2025-12-02
모심과 돌봄,경기도 파주시 탄현면 새오리로 308-7,경기도 파주시 탄현면 대동리 242-5,37.8097346927,126.6907071749,방문요양,근린생활시설,031-942-9241,경기도 파주시청,031-940-4415,2025-12-02
무지개요양원,경기도 파주시 가나무로 143,경기도 파주시 금릉동 211-5,37.754539695,126.7813091952,노인요양시설,노유자시설,031-942-5541,경기도 파주시청,031-940-4477,2025-12-02
무지개요양원 별관,경기도 파주시 가나무로 143,경기도 파주시 금릉동 211-5,37.754539695,126.7813091952,노인요양공동생활가정,노유자시설,,경기도 파주시청,031-940-4477,2025-12-02
무지개주야간보호센터,경기도 파주시 가나무로 143,경기도 파주시 금릉동 211-5,37.754539695,126.7813091952,주야간보호,노유자시설,031-942-5540,경기도 파주시청,031-940-4415,2025-12-02
문발1동 경로당,경기도 파주시 교하로863번길 34,경기도 파주시 문발동 82,37.7255458429,126.7013638652,노인여가활동,경로당,031-943-9780,경기도 파주시청,031-940-4404,2025-12-02
문산 경로당,경기도 파주시 문산읍 독산로31번길 6,경기도 파주시 문산읍 문산리 68-4,37.8581760435,126.7824334514,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
문산 노인복지센터,경기도 파주시 문산읍 문향로 28,경기도 파주시 문산읍 문산리 17-38,37.8544272156,126.7863837481,방문요양+방문목욕,근린생활시설,031-954-1452,경기도 파주시청,031-940-4415,2025-12-02
문산 한양수자인아파트 경로당,경기도 파주시 문산읍 당동1로 52,경기도 파주시 문산읍 당동리 947,37.8648830348,126.7749376166,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
문산1리 경로당,경기도 파주시 문산읍 문산로 23,경기도 파주시 문산읍 문산리 55-5,37.8574759213,126.7818035941,노인여가활동,경로당,031-952-2095,경기도 파주시청,031-940-4404,2025-12-02
문산2리 경로당,경기도 파주시 문산읍 하동로24번길 1,경기도 파주시 문산읍 문산리 117-7,37.8592514751,126.7779758699,노인여가활동,경로당,031-952-1474,경기도 파주시청,031-940-4404,2025-12-02
문산3리 경로당,경기도 파주시 문산읍 문향로75번길 49,경기도 파주시 문산읍 문산리 77-3,37.8599170621,126.7837178876,노인여가활동,경로당,031-953-9646,경기도 파주시청,031-940-4404,2025-12-02
문산4리 경로당,경기도 파주시 문산읍 문향로50번길 7-1,경기도 파주시 문산읍 문산리 10-74,37.8565409986,126.785972437,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
문산선유3단지(휴먼시아)아파트 경로당,경기도 파주시 문산읍 독서울1길 39,경기도 파주시 문산읍 선유리 1394,37.867922814,126.8013649267,노인여가활동,경로당,031-952-2620,경기도 파주시청,031-940-4404,2025-12-02
문산선유4단지 아파트 경로당,경기도 파주시 문산읍 독서울1길 21,경기도 파주시 문산읍 선유리 1409,37.866013515,126.8034535331,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
문산선유5단지(휴먼시아) 경로당,경기도 파주시 문산읍 독서울1길 40,경기도 파주시 문산읍 선유리 1404,37.8688036884,126.8029300335,노인여가활동,경로당,031-953-1864,경기도 파주시청,031-940-4404,2025-12-02
문산역2차 동문디이스트경로당,경기도 파주시 문산읍 통일로 1753,경기도 파주시 문산읍 선유리 1420,37.8686637496,126.7887235853,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
문산재활요양원,경기도 파주시 문산읍 문산역로 107,경기도 파주시 문산읍 문산리 17-25,37.8557771513,126.7867051775,노인요양시설,노유자시설,031-954-2478,경기도 파주시청,031-940-4477,2025-12-02
문산중앙의료기,경기도 파주시 문산읍 문향로 89,경기도 파주시 문산읍 선유리 952-13,37.8595556402,126.7866032665,복지용구제공사업소,근린생활시설,031-953-4501,경기도 파주시청,031-940-4415,2025-12-02
문산휴먼빌아파트 경로당,경기도 파주시 문산읍 문향로 11,경기도 파주시 문산읍 문산리 145,37.8532957171,126.784753853,노인여가활동,경로당,031-939-8633,경기도 파주시청,031-940-4404,2025-12-02
문지리 경로당,경기도 파주시 탄현면 방촌로955번길 7,경기도 파주시 탄현면 문지리 209,37.8231017506,126.726566223,노인여가활동,경로당,031-942-7060,경기도 파주시청,031-940-4404,2025-12-02
문화(연다산2리) 경로당,경기도 파주시 거문이길 182,경기도 파주시 연다산동 319-6,37.7401093331,126.7063417967,노인여가활동,경로당,031-941-1814,경기도 파주시청,031-940-4404,2025-12-02
물향기마을1단지 경로당,경기도 파주시 운정중앙로 200,경기도 파주시 동패동 2173-495,37.7282455199277,126.725808345079,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
물향기마을3단지 경로당,경기도 파주시 물향기1로 194,경기도 파주시 동패동 2173-561,37.726472095292,126.726718942491,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
미소노인복지센터,경기도 파주시 금정13길 23-9,경기도 파주시 금촌동 947-49,37.7588122283,126.7739939424,방문요양+방문목욕,근린생활시설,031-946-7179,경기도 파주시청,031-940-4415,2025-12-02
미소드림요양원,경기도 파주시 파평면 화석정로126번길 144-30,경기도 파주시 파평면 율곡리 477-2,37.8856964022,126.8093044618,노인요양공동생활가정,노유자시설,031-952-1599,경기도 파주시청,031-940-4477,2025-12-02
미소드림재가복지센터,경기도 파주시 파평면 화석정로126번길 144-30,경기도 파주시 파평면 율곡리 477-2,37.8856964022,126.8093044618,방문요양+방문목욕,근린생활시설,031-952-1599,경기도 파주시청,031-940-4415,2025-12-02
